Cast Vote Record,Precinct,Ballot Style,Governor / Lieutenant Governor,Attorney General,Secretary of State,State Treasurer,United States Senator,Representative in Congress District 2,Representative in Congress District 5,State Senator District 13,State Senator District 15,State Senator District 27,Representative to the Assembly District 37,Representative to the Assembly District 38,Representative to the Assembly District 42,Representative to the Assembly District 43,Representative to the Assembly District 46,Representative to the Assembly District 47,Representative to the Assembly District 48,Representative to the Assembly District 76,Representative to the Assembly District 77,Representative to the Assembly District 78,Representative to the Assembly District 79,Representative to the Assembly District 80,Representative to the Assembly District 81,Sheriff Dane County,Clerk of Circuit Court Dane County,Sheriff Green County,Coroner Green County,Clerk of Circuit Court Green County,Sheriff Jefferson County,Clerk of Circuit Court Jefferson County,County Referendum re: tax loopholes,County Referendum re: legalize marijuana,Green County Referendum,City of Sun Prairie Referendum re: tax loopholes,Village of DeForest Referendum re: tax loopholes,Village of Mt. Horeb Referendum re: animal research,Town of Black Earth Referendum re: appointed clerk,Town of Deerfield Referendum re: appointed clerk,Town of Madison Referendum re: increase levy limit,Town of Sun Prairie Referendum re: appointed clerk,Town of Vermont Referendum re: appointed clerk/treasurer,Town of Vermont Referendum re: amend constitution,Edgerton School District Ref #1,Edgerton School District Ref #2,Evansville School District Ref #1,Evansville School District #2,Middleton Cross Plains Ref #1,Middleton Cross Plains Ref #2,Monona Grove Ref #1,Monona Grove Ref #2,Oregon School District Ref #1,Oregon School District Ref #2,New Glarus School District Ref #1,New Glarus School District Ref #2,River Valley School District Referendum,Poynette School District Referendum
269377,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269378,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269379,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269380,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269381,C Madison Wd 009,Ballot Style 31,undervote,undervote,undervote,undervote,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,undervote,undervote,,,,,,,,,,,,,,,,,,,,,,,,
269382,C Madison Wd 009,Ballot Style 31,LIB Phillip Anderson /Patrick Baird,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269383,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269384,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,DEM Doug La Follette,undervote,undervote,DEM Mark Pocan,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269385,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269386,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269387,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269388,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269389,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269390,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269391,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269392,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269393,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,DEM Josh Kaul,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269394,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269395,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269396,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269397,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269398,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,undervote,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269399,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269400,C Madison Wd 009,Ballot Style 31,IND Maggie Turnbull /Wil Losch,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269401,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269402,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269403,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269404,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269405,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,DEM Doug La Follette,REP Travis Hartwig,REP Leah Vukmir,DEM Mark Pocan,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269406,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269407,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269408,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269409,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269410,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269411,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269412,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269413,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269414,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269415,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269416,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269417,C Madison Wd 009,Ballot Style 31,IND Maggie Turnbull /Wil Losch,undervote,undervote,undervote,undervote,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269418,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269419,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269420,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269421,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269422,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269423,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269424,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,DEM Doug La Follette,REP Travis Hartwig,REP Leah Vukmir,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269425,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269426,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,CON Terry Larson,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269427,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269428,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269429,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,DEM Josh Kaul,DEM Doug La Follette,REP Travis Hartwig,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269430,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269431,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,undervote,undervote,,,,,,undervote,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269432,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269433,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,overvote,,,,,,,,,,,,,,,,,,,,,,,,
269434,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269435,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269436,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269437,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269438,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269439,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269440,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,undervote,,,,,,,,,,,,,,,,,,,,,,,,
269441,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269442,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269443,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269444,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269445,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269446,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269447,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269448,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
